1	13800000001	用户0001		17.0	211	normal	normal	2026-07-06 21:24:00	2026-09-10 10:04:52
2	13800000002	早高峰通勤者		60.82	182	normal	normal	2026-06-18 21:24:00	2026-09-08 21:24:00
3	13800000003	用户0003		4.2	246	vip	normal	2026-06-28 21:24:00	2026-09-09 14:24:00
4	13800000004	夜猫子网约车		69.45	118	normal	normal	2026-06-07 21:24:00	2026-09-09 11:24:00
5	13800000005	用户0005		29.78	248	normal	normal	2026-07-07 21:24:00	2026-09-08 17:24:00
6	13800001006	物流老周		79.08	156	normal	normal	2026-08-10 21:24:00	2026-09-08 03:24:00
7	13800001007	周末自驾客		35.06	127	normal	normal	2026-07-05 21:24:00	2026-09-08 07:24:00
8	13800001008	园区上班族		31.52	158	normal	normal	2026-07-03 21:24:00	2026-09-09 04:24:00
9	13800001009	滴滴快车小李		40.94	127	vip	normal	2026-05-27 21:24:00	2026-09-09 04:24:00
10	13800001010	搬家师傅		99.64	138	normal	normal	2026-05-28 21:24:00	2026-09-08 10:24:00
11	13800001011	外卖骑手		70.4	163	normal	normal	2026-05-18 21:24:00	2026-09-08 17:24:00
12	13800001012	深度长跑用户		9.36	203	vip	normal	2026-06-09 21:24:00	2026-09-08 08:24:00
13	13800002001	北京白领小陈		86.96	166	normal	normal	2026-07-22 21:24:00	2026-09-08 21:24:00
14	13800002002	苏州通勤客		12.58	130	normal	normal	2026-06-14 21:24:00	2026-09-08 05:24:00
15	13800002003	网约车司机阿强		54.35	173	vip	normal	2026-06-03 21:24:00	2026-09-09 03:24:00
16	13800002004	货运平台司机		81.15	228	normal	normal	2026-06-10 21:24:00	2026-09-08 01:24:00
17	13800002005	周末郊游族		40.11	148	normal	normal	2026-06-27 21:24:00	2026-09-08 19:24:00
18	13700000000	新用户01		38.12	90	normal	normal	2026-09-09 17:24:00	2026-09-09 17:24:00
19	13700000001	新用户02		21.53	191	normal	normal	2026-09-08 17:24:00	2026-09-08 18:24:00
20	13700000002	新用户03		58.97	60	normal	normal	2026-09-07 17:24:00	2026-09-07 19:24:00
21	13700000003	新用户04		16.54	51	normal	normal	2026-09-06 17:24:00	2026-09-06 17:24:00
22	13700000004	新用户05		28.48	199	normal	normal	2026-09-05 19:24:00	2026-09-05 21:24:00
23	13700000005	新用户06		73.62	173	normal	normal	2026-09-04 13:24:00	2026-09-04 17:24:00
24	13700000006	新用户07		0.53	138	normal	normal	2026-09-03 20:24:00	2026-09-03 18:24:00
25	13700000007	新用户08		29.7	80	normal	normal	2026-09-09 13:24:00	2026-09-09 17:24:00
26	13700000008	新用户09		69.5	125	normal	normal	2026-09-08 18:24:00	2026-09-08 17:24:00
27	13700000009	新用户10		22.42	56	normal	normal	2026-09-07 11:24:00	2026-09-07 20:24:00
28	13700000010	新用户11		4.33	108	normal	normal	2026-09-06 13:24:00	2026-09-06 17:24:00
29	13700000011	新用户12		2.61	88	normal	normal	2026-09-05 14:24:00	2026-09-05 16:24:00
30	13700000012	新用户13		62.07	117	normal	normal	2026-09-04 19:24:00	2026-09-04 16:24:00
31	13700000013	新用户14		41.46	80	normal	normal	2026-09-03 20:24:00	2026-09-03 21:24:00
32	13700000014	新用户15		53.93	97	normal	normal	2026-09-09 11:24:00	2026-09-09 21:24:00
